ID,Anio,IVP,Salario Minimo,Concepto,TipoCT,Consecutivo,SIGAU,Especie,Tratamiento,Espacio,Estrato,Localidad,Latitud,Longitud,PAP,DAP,Altura Total,Altura Comercial,Diam. Copa Polar,Diam. Copa Ecuatorial,Perimetro basal,Estado fuste,Estado Copa,Estado Raiz,Estado FitoSanitario,Estado General,Riesgo,Interes patrimonial,Autorizado
14,2020,0.4379,877803,2020EE50578,Infraestructura,SSFFS-50578,10577527748845,ciro,Tratamiento integral,Privado,1,ENGATIVA,4.703914820344299,-74.11928761275527,0.49,1.54,3.3,2.49,5.8,2.22,1.69,2,2,2,2,Malo,Alto,No,JBB
15,2025,0.4745,1423500,2025EE95635,Infraestructura,SSFFS-95635,01943248640123,mermelada,Poda control altura,Publico,3,USAQUEN,4.734482199163864,-74.01862739685451,0.03,0.09,4.29,4.11,4.75,4.94,0.1,3,2,3,5,Regular,Medio,No,ENEL
16,2024,0.4476,1300000,2024EE89676,Manejo,SSFFS-89676,16409430277542,salvio morado,Poda estabilidad,Privado,3,PUENTE ARANDA,4.6246430467067015,-74.10359998262383,0.73,2.29,2.38,1.81,23.09,0.55,2.52,3,2,3,4,Regular,Medio,No,JBB
17,2024,0.4476,1300000,2024EE61363,Emergencia,SSFFS-61363,03056276280875,arbol de hierro,Poda estructural,Publico,3,SANTA FE,4.609136427652067,-74.00400362022822,0.8,2.51,5.61,2.2,2.68,10.55,2.76,4,3,4,4,Regular,Medio,No,ENEL
18,2020,0.4379,877803,2020EE43812,Infraestructura,SSFFS-43812,10894583209788,caucho sabanero,Tala,Publico,3,ENGATIVA,4.725420186320895,-74.13078726556364,120.99,380.1,37.96,10.04,82.17,89.38,418.11,1,1,1,1,Muy Malo,Muy Alto,No,JBB
19,2025,0.4745,1423500,2025EE51375,Manejo,SSFFS-51375,06520141313660,chocho,Traslado,Privado,4,TUNJUELITO,4.589510623360214,-74.14008079692061,1.11,3.49,4.94,1.92,3.73,2.94,3.84,4,4,5,4,Bueno,Bajo,No,IDU
20,2024,0.4476,1300000,2024EE09566,Manejo,SSFFS-09566,17685583683184,fenix,Poda radicular,Publico,5,CANDELARIA,4.599925430956344,-74.06589270680158,0.3,0.94,1.72,0.72,0.8,1.0,1.04,4,4,2,4,Regular,Medio,No,ENEL
21,2021,0.4379,908526,2021EE86006,Manejo,SSFFS-86006,02716262111818,laurel huesito,Poda estructural,Publico,4,CHAPINERO,4.627224317741509,-73.99077366157174,1.09,3.42,11.33,8.25,8.33,0.82,3.77,4,3,4,4,Regular,Medio,No,JBB
22,2020,0.4379,877803,2020EE85770,Manejo,SSFFS-85770,15628255747700,tomatillo,Poda realce,Privado,5,ANTONIO NARIÑO,4.585413527122485,-74.08829955684959,0.1,0.31,1.82,0.22,1.1,3.43,0.35,4,4,4,4,Bueno,Bajo,No,ENEL
23,2025,0.4745,1423500,2025EE33960,Emergencia,SSFFS-33960,06649629611240,pino candelabro,Traslado,Privado,3,TUNJUELITO,4.571507544907149,-74.13898391895091,134.36,422.11,24.62,22.88,16.03,1.64,464.32,4,4,5,4,Bueno,Bajo,No,IDU
24,2025,0.4745,1423500,2025EE96438,Infraestructura,SSFFS-96438,08088766836936,durazno comun,Poda aclareo,Privado,1,KENNEDY,4.641873855812431,-74.1822593959711,2.47,7.76,33.66,29.24,13.4,62.85,8.54,4,3,4,5,Bueno,Bajo,No,JBB
25,2021,0.4379,908526,2021EE80709,Manejo,SSFFS-80709,13449461301142,gurrubo,Tratamiento integral,Publico,3,TEUSAQUILLO,4.650680238156112,-74.0853571572548,0.41,1.29,2.27,0.96,3.16,2.12,1.42,2,2,2,2,Malo,Alto,No,OTRO
26,2023,0.4581,1160000,2023EE00178,Manejo,SSFFS-00178,03226960962732,borrachero blanco,Poda radicular,Publico,6,SANTA FE,4.615854598779777,-74.00555018613417,0.46,1.45,5.52,5.17,1.07,2.54,1.59,4,4,2,4,Regular,Medio,No,EEAB
27,2020,0.4379,877803,2020EE48183,Manejo,SSFFS-48183,12595460071408,espino garbancillo,Poda radicular,Privado,5,BARRIOS UNIDOS,4.67777827239578,-74.06070855599552,0.17,0.53,6.05,4.16,3.4,22.75,0.59,4,4,2,4,Regular,Medio,No,UAESP
28,2020,0.4379,877803,2020EE57635,Infraestructura,SSFFS-57635,06070554541430,abelia,Poda estructural,Privado,4,TUNJUELITO,4.585785444519817,-74.1467432511391,0.09,0.28,2.0,1.26,2.0,4.77,0.31,4,3,4,4,Regular,Medio,No,IDU
29,2023,0.4581,1160000,2023EE67635,Emergencia,SSFFS-67635,08915790939130,gaquillo,Poda realce,Publico,4,KENNEDY,4.61444119475653,-74.1755787709266,0.09,0.28,4.24,1.96,1.86,0.27,0.31,4,4,4,4,Bueno,Bajo,No,OTRO
30,2023,0.4581,1160000,2023EE70059,Emergencia,SSFFS-70059,11600147689863,fenix,Poda radicular,Publico,4,SUBA,4.793115434540677,-74.04011112049889,0.3,0.94,1.63,1.0,0.8,1.0,1.04,4,4,2,4,Regular,Medio,No,UAESP
31,2025,0.4745,1423500,2025EE02638,Emergencia,SSFFS-02638,10268248665636,lupinus,Tratamiento especial,Publico,4,ENGATIVA,4.702560940934719,-74.08892854820411,0.39,1.23,2.97,1.27,1.6,1.32,1.35,3,3,3,2,Malo,Alto,No,OTRO
32,2022,0.432,1000000,2022EE14997,Manejo,SSFFS-14997,12044515198217,balu cambulo,Poda estabilidad,Publico,4,BARRIOS UNIDOS,4.659338251666843,-74.06439100387684,1.59,5.0,7.92,1.92,2.72,6.23,5.49,3,2,3,4,Regular,Medio,No,OTRO
33,2025,0.4745,1423500,2025EE12060,Manejo,SSFFS-12060,01837664976910,eucalipto,Poda estabilidad,Privado,1,USAQUEN,4.811641582231624,-74.0314327498854,11.83,37.17,28.61,26.46,13.72,17.76,40.88,3,2,3,4,Regular,Medio,No,EEAB
34,2022,0.432,1000000,2022EE79421,Infraestructura,SSFFS-79421,19169040387086,manzano de monte,Poda control altura,Publico,5,CIUDAD BOLIVAR,4.4188098755720056,-74.14725948270552,0.62,1.95,5.03,2.46,8.21,8.85,2.14,3,2,3,5,Regular,Medio,No,UAESP
35,2020,0.4379,877803,2020EE63618,Manejo,SSFFS-63618,02931381719419,mandarina,Poda aclareo,Publico,3,CHAPINERO,4.667348703753935,-74.04313118553476,0.34,1.07,4.12,1.56,2.84,2.92,1.17,4,3,4,5,Bueno,Bajo,No,JBB
36,2022,0.432,1000000,2022EE26503,Infraestructura,SSFFS-26503,02060880079203,borrachero rojo,Poda control altura,Publico,5,CHAPINERO,4.673242996500331,-74.05121087414834,0.34,1.07,6.0,0.7,1.8,1.7,1.17,3,2,3,5,Regular,Medio,No,UAESP
37,2023,0.4581,1160000,2023EE13167,Infraestructura,SSFFS-13167,12733409601918,caucho lira,Poda realce,Privado,3,BARRIOS UNIDOS,4.679525607135138,-74.06929725744386,0.6,1.88,2.6,1.65,5.45,3.98,2.07,4,4,4,4,Bueno,Bajo,No,UAESP
38,2022,0.432,1000000,2022EE76405,Manejo,SSFFS-76405,13871171313055,roble,Conservar,Publico,2,TEUSAQUILLO,4.616842770160222,-74.07379680236293,0.08,0.25,9.3,8.74,38.54,12.51,0.28,5,4,5,4,Bueno,Bajo,No,ENEL
39,2024,0.4476,1300000,2024EE31691,Manejo,SSFFS-31691,10252066248664,jazmin del cabo,Poda estructural,Privado,5,ENGATIVA,4.714300114156984,-74.12677881560161,0.76,2.39,8.12,7.97,7.53,8.06,2.63,4,3,4,4,Regular,Medio,No,UAESP
40,2024,0.4476,1300000,2024EE63957,Infraestructura,SSFFS-63957,02527533074430,tibar pagoda o rodamonte,Poda estabilidad,Publico,5,CHAPINERO,4.650237754888162,-74.06114323380218,9.51,29.88,4.6,2.77,4.8,8.49,32.86,3,2,3,4,Regular,Medio,No,UAESP
41,2025,0.4745,1423500,2025EE26102,Infraestructura,SSFFS-26102,18790394781435,lulo de perro,Traslado,Publico,5,RAFAEL URIBE URIBE,4.560716912812284,-74.1189451853444,0.5,1.57,2.22,1.26,2.25,3.68,1.73,4,4,5,4,Bueno,Bajo,No,JBB
42,2025,0.4745,1423500,2025EE45640,Emergencia,SSFFS-45640,05503518156389,tecomaria,Poda aclareo,Privado,6,USME,4.3644293038638855,-74.12347807669391,2.5,7.85,2.81,2.57,2.11,1.35,8.64,4,3,4,5,Bueno,Bajo,No,JBB
43,2020,0.4379,877803,2020EE24105,Emergencia,SSFFS-24105,14785252815703,pino,Tratamiento integral,Publico,6,LOS MARTIRES,4.616238236862129,-74.08296701794285,4.13,12.97,7.09,7.0,4.58,1.69,14.27,2,2,2,2,Malo,Alto,No,ENEL
44,2023,0.4581,1160000,2023EE93045,Manejo,SSFFS-93045,04090513606664,helecho arborecente,Poda estructural,Privado,4,SAN CRISTOBAL,4.518541927405904,-74.04167296997947,0.43,1.35,8.71,1.27,0.96,4.31,1.49,4,3,4,4,Regular,Medio,No,JBB
45,2024,0.4476,1300000,2024EE35880,Emergencia,SSFFS-35880,11173845775887,eucalipto lavabotella,Tratamiento integral,Publico,4,SUBA,4.763678841057863,-74.10290841032138,0.56,1.76,5.26,0.68,3.33,3.55,1.94,2,2,2,2,Malo,Alto,No,IDU
46,2023,0.4581,1160000,2023EE24604,Manejo,SSFFS-24604,14779705491485,morera,Poda estructural,Privado,1,LOS MARTIRES,4.596550784936142,-74.09940430444976,0.26,0.82,1.81,1.69,2.77,0.75,0.9,4,3,4,4,Regular,Medio,No,JBB
47,2024,0.4476,1300000,2024EE50983,Infraestructura,SSFFS-50983,18805348704563,liquidambar estoraque,Conservar,Publico,1,RAFAEL URIBE URIBE,4.568581517263125,-74.10096438132233,72.3,227.14,31.54,9.6,17.85,10.38,249.85,5,4,5,4,Bueno,Bajo,Si,ENEL
48,2020,0.4379,877803,2020EE29566,Manejo,SSFFS-29566,19337281192027,nogal,Poda control altura,Privado,4,CIUDAD BOLIVAR,4.529063063088743,-74.17918248796126,0.21,0.66,19.53,9.48,15.43,5.96,0.73,3,2,3,5,Regular,Medio,No,ENEL
49,2024,0.4476,1300000,2024EE58032,Manejo,SSFFS-58032,07579584198697,sangregao croto,Tratamiento especial,Publico,2,BOSA,4.615264028600684,-74.19432366650832,1.65,5.18,10.04,5.41,4.79,93.66,5.7,3,3,3,2,Malo,Alto,No,JBB
50,2024,0.4476,1300000,2024EE07208,Infraestructura,SSFFS-07208,09541498082215,venturosa,Poda estabilidad,Publico,6,FONTIBON,4.688650889141316,-74.12837913207069,0.21,0.66,3.0,2.89,0.94,2.69,0.73,3,2,3,4,Regular,Medio,No,OTRO
51,2024,0.4476,1300000,2024EE84687,Infraestructura,SSFFS-84687,05938083202390,roble australiano,Traslado,Privado,1,USME,4.322879190194362,-74.19762169093832,3.09,9.71,6.35,4.35,10.83,13.78,10.68,4,4,5,4,Bueno,Bajo,No,JBB
52,2025,0.4745,1423500,2025EE05314,Emergencia,SSFFS-05314,13991747769556,liquidambar estoraque,Poda aclareo,Publico,6,TEUSAQUILLO,4.6246190761837385,-74.0784209253876,14.74,46.31,26.46,3.83,13.95,0.69,50.94,4,3,4,5,Bueno,Bajo,No,OTRO
53,2024,0.4476,1300000,2024EE07749,Manejo,SSFFS-07749,17018920721761,uva camarona,Tratamiento especial,Publico,6,CANDELARIA,4.598452900074493,-74.07682562433705,0.54,1.7,4.76,3.09,1.09,8.92,1.87,3,3,3,2,Malo,Alto,No,EEAB
54,2024,0.4476,1300000,2024EE16360,Infraestructura,SSFFS-16360,05250876659338,aloe arboreo,Tala,Privado,3,USME,4.339882041284277,-74.18581531605219,0.62,1.95,3.27,0.31,2.05,2.57,2.14,1,1,1,1,Muy Malo,Muy Alto,No,JBB
55,2024,0.4476,1300000,2024EE40699,Emergencia,SSFFS-40699,07619076517542,flor amarillo,Tala,Privado,6,BOSA,4.6147157553860465,-74.18498784862547,1.0,3.14,7.21,4.89,3.48,5.46,3.46,1,1,1,1,Muy Malo,Muy Alto,Si,JBB
56,2025,0.4745,1423500,2025EE67471,Manejo,SSFFS-67471,05212657967827,mano de oso,Tala,Privado,6,USME,4.373042706888377,-74.14780658118994,1.21,3.8,4.35,1.23,35.73,7.13,4.18,1,1,1,1,Muy Malo,Muy Alto,No,ENEL
57,2025,0.4745,1423500,2025EE27388,Manejo,SSFFS-27388,02594102757570,cidron,Tala,Privado,4,CHAPINERO,4.667952128328603,-74.01801466947117,0.47,1.48,2.95,2.56,1.93,2.89,1.62,1,1,1,1,Muy Malo,Muy Alto,No,UAESP
58,2020,0.4379,877803,2020EE27959,Infraestructura,SSFFS-27959,12218911184460,palma de datiles,Tratamiento integral,Publico,4,BARRIOS UNIDOS,4.672231915311446,-74.08387953688946,1.05,3.3,12.01,5.44,1.39,1.61,3.63,2,2,2,2,Malo,Alto,No,JBB
59,2021,0.4379,908526,2021EE94893,Manejo,SSFFS-94893,11043751505815,ciro,Tratamiento especial,Privado,5,SUBA,4.766441713020835,-74.10533167283513,1.54,4.84,14.0,13.91,0.92,1.11,5.32,3,3,3,2,Malo,Alto,No,ENEL
60,2022,0.432,1000000,2022EE91341,Manejo,SSFFS-91341,05077513239141,punta de lanza,Poda estructural,Privado,2,USME,4.289719170763268,-74.20846112186409,0.31,0.97,2.0,0.56,2.0,1.0,1.07,4,3,4,4,Regular,Medio,No,JBB
61,2021,0.4379,908526,2021EE02332,Manejo,SSFFS-02332,02257302442691,helecho palma,Poda estabilidad,Publico,3,CHAPINERO,4.653597294337386,-74.03967304675776,0.44,1.38,2.44,0.87,1.73,1.89,1.52,3,2,3,4,Regular,Medio,No,ENEL
62,2024,0.4476,1300000,2024EE95090,Infraestructura,SSFFS-95090,16975839658730,borrachero blanco,Tratamiento integral,Publico,5,PUENTE ARANDA,4.600217757004663,-74.13331165376667,0.52,1.63,5.44,3.46,2.72,2.86,1.8,2,2,2,2,Malo,Alto,No,IDU
63,2021,0.4379,908526,2021EE81719,Emergencia,SSFFS-81719,16598759197861,holly liso,Conservar,Publico,5,PUENTE ARANDA,4.628373316111803,-74.10128695722051,12.51,39.3,15.41,9.64,3.12,52.16,43.23,5,4,5,4,Bueno,Bajo,No,JBB
64,2025,0.4745,1423500,2025EE68893,Infraestructura,SSFFS-68893,02846077281053,pino candelabro,Conservar,Publico,6,CHAPINERO,4.62223727074934,-73.9989510173584,167.09,524.93,16.34,4.13,2.84,7.15,577.42,5,4,5,4,Bueno,Bajo,No,JBB
65,2022,0.432,1000000,2022EE64285,Emergencia,SSFFS-64285,19709075156403,papayuelo,Poda estructural,Privado,1,CIUDAD BOLIVAR,4.476250397218251,-74.16356859412785,0.95,2.98,3.15,3.02,6.38,0.35,3.28,4,3,4,4,Regular,Medio,No,EEAB
66,2025,0.4745,1423500,2025EE45254,Manejo,SSFFS-45254,12980072298703,guamo santafereno,Tratamiento integral,Publico,5,BARRIOS UNIDOS,4.6616752369029575,-74.07931938405595,1.15,3.61,5.15,2.94,1.64,3.82,3.97,2,2,2,2,Malo,Alto,No,EEAB
67,2025,0.4745,1423500,2025EE37417,Manejo,SSFFS-37417,18191665901967,quina,Traslado,Privado,3,RAFAEL URIBE URIBE,4.58533127353916,-74.12289177005245,0.21,0.66,2.34,0.81,0.51,1.87,0.73,4,4,5,4,Bueno,Bajo,No,UAESP
68,2022,0.432,1000000,2022EE46473,Manejo,SSFFS-46473,10295678752112,siete cueros peludo,Tratamiento especial,Privado,1,ENGATIVA,4.694156713306516,-74.09194858304365,0.16,0.5,2.43,0.92,1.48,9.39,0.55,3,3,3,2,Malo,Alto,No,ENEL
69,2020,0.4379,877803,2020EE40061,Manejo,SSFFS-40061,10344614178964,acacia azul,Poda estabilidad,Privado,2,ENGATIVA,4.719990084658982,-74.1529736796522,0.24,0.75,2.63,1.69,1.84,1.11,0.83,3,2,3,4,Regular,Medio,Si,JBB
70,2024,0.4476,1300000,2024EE63399,Infraestructura,SSFFS-63399,12342875134830,roble,Tala,Publico,3,BARRIOS UNIDOS,4.672502871782829,-74.07648904951623,0.28,0.88,6.75,4.92,53.42,27.64,0.97,1,1,1,1,Muy Malo,Muy Alto,No,ENEL
71,2022,0.432,1000000,2022EE25372,Emergencia,SSFFS-25372,14348015746774,caballero de la noche,Poda estructural,Publico,5,LOS MARTIRES,4.604493957871393,-74.09820615960969,0.37,1.16,23.48,18.87,17.3,4.37,1.28,4,3,4,4,Regular,Medio,No,EEAB
72,2024,0.4476,1300000,2024EE61346,Manejo,SSFFS-61346,07041845643570,mano de oso,Poda estructural,Privado,4,BOSA,4.636349922882727,-74.2012297353591,0.65,2.04,14.3,7.81,48.41,2.43,2.25,4,3,4,4,Regular,Medio,No,UAESP
73,2024,0.4476,1300000,2024EE23694,Emergencia,SSFFS-23694,07675040091392,tuno esmeraldo,Poda aclareo,Privado,6,BOSA,4.629918103662668,-74.18891305666435,3.91,12.28,4.37,0.7,1.54,1.34,13.51,4,3,4,5,Bueno,Bajo,Si,EEAB
74,2020,0.4379,877803,2020EE72211,Infraestructura,SSFFS-72211,15379284603583,tecomaria,Tala,Publico,2,ANTONIO NARIÑO,4.593948516104903,-74.10332447083981,0.99,3.11,2.02,1.02,2.64,1.8,3.42,1,1,1,1,Muy Malo,Muy Alto,No,JBB
75,2022,0.432,1000000,2022EE17751,Infraestructura,SSFFS-17751,13251446611546,duraznillo velitas,Conservar,Publico,5,TEUSAQUILLO,4.630397791390227,-74.09150015436651,1.0,3.14,11.21,0.42,6.68,4.7,3.46,5,4,5,4,Bueno,Bajo,No,JBB
76,2020,0.4379,877803,2020EE75290,Manejo,SSFFS-75290,03801537155709,pino de pacho,Poda aclareo,Privado,3,SANTA FE,4.578216138801676,-74.03315960778315,10.67,33.52,18.71,1.44,32.17,15.26,36.87,4,3,4,5,Bueno,Bajo,No,JBB
77,2021,0.4379,908526,2021EE65078,Infraestructura,SSFFS-65078,18363256796848,dalia,Poda control altura,Publico,4,RAFAEL URIBE URIBE,4.560195804048937,-74.1139093223149,0.13,0.41,4.77,1.38,2.08,3.98,0.45,3,2,3,5,Regular,Medio,No,UAESP
78,2020,0.4379,877803,2020EE52607,Manejo,SSFFS-52607,11697860106007,chicala,Poda control altura,Privado,1,SUBA,4.778998671668269,-74.11029849580245,148.91,467.82,28.81,20.18,8.05,9.61,514.6,3,2,3,5,Regular,Medio,No,EEAB
79,2023,0.4581,1160000,2023EE98500,Emergencia,SSFFS-98500,12457699252271,alcaparro doble,Tala,Privado,5,BARRIOS UNIDOS,4.6745195748882,-74.07202152652576,1.72,5.4,14.41,1.6,3.77,7.88,5.94,1,1,1,1,Muy Malo,Muy Alto,No,JBB
80,2022,0.432,1000000,2022EE93133,Emergencia,SSFFS-93133,11838307114924,pino de pacho,Tratamiento integral,Publico,1,SUBA,4.827152942712595,-74.06045421590031,9.95,31.26,7.84,4.9,68.22,22.07,34.38,2,2,2,2,Malo,Alto,No,OTRO
81,2020,0.4379,877803,2020EE00969,Emergencia,SSFFS-00969,15908819498267,chirlobirlo,Conservar,Publico,3,ANTONIO NARIÑO,4.594548247506765,-74.11116719938882,0.87,2.73,6.37,2.37,1.02,4.71,3.01,5,4,5,4,Bueno,Bajo,No,ENEL
82,2020,0.4379,877803,2020EE10965,Manejo,SSFFS-10965,05127912634080,jazmin de la china,Conservar,Privado,6,USME,4.31844249941269,-74.12510905069938,0.4,1.26,6.4,1.0,3.37,2.56,1.38,5,4,5,4,Bueno,Bajo,No,ENEL
83,2023,0.4581,1160000,2023EE89227,Emergencia,SSFFS-89227,05471004749898,pajarito,Tratamiento especial,Publico,6,USME,4.3156800419181,-74.20678202822029,8.88,27.9,3.8,2.82,2.56,47.74,30.69,3,3,3,2,Malo,Alto,No,ENEL
84,2022,0.432,1000000,2022EE89059,Emergencia,SSFFS-89059,07552097093608,mandarina,Poda radicular,Privado,1,BOSA,4.6201896495529295,-74.21878321380323,0.92,2.89,1.69,1.18,2.03,2.42,3.18,4,4,2,4,Regular,Medio,No,JBB
85,2023,0.4581,1160000,2023EE25908,Emergencia,SSFFS-25908,07250074551190,raphiolepys,Tala,Privado,2,BOSA,4.627894741154797,-74.20695410114085,0.4,1.26,1.9,0.77,4.41,0.93,1.38,1,1,1,1,Muy Malo,Muy Alto,No,UAESP
86,2024,0.4476,1300000,2024EE96077,Manejo,SSFFS-96077,04675702183080,leptospermun,Conservar,Privado,2,SAN CRISTOBAL,4.536842818355831,-74.07270518216959,1.05,3.3,4.46,2.59,5.89,2.06,3.63,5,4,5,4,Bueno,Bajo,No,ENEL
87,2024,0.4476,1300000,2024EE74480,Emergencia,SSFFS-74480,03277460754760,fotinia,Poda radicular,Publico,5,SANTA FE,4.588833833828103,-74.03468823823158,0.11,0.35,3.24,2.53,1.32,1.55,0.38,4,4,2,4,Regular,Medio,No,JBB
88,2020,0.4379,877803,2020EE37588,Infraestructura,SSFFS-37588,06957803258036,pino candelabro,Tala,Publico,3,TUNJUELITO,4.588842710143339,-74.12975199092602,47.86,150.36,25.25,17.49,12.92,17.15,165.39,1,1,1,1,Muy Malo,Muy Alto,No,UAESP
89,2025,0.4745,1423500,2025EE98138,Infraestructura,SSFFS-98138,04350936185976,laurel huesito,Poda estructural,Privado,4,SAN CRISTOBAL,4.573993343106723,-74.07592984179112,0.99,3.11,11.29,3.93,10.12,9.44,3.42,4,3,4,4,Regular,Medio,No,UAESP
90,2025,0.4745,1423500,2025EE57138,Manejo,SSFFS-57138,04393661186702,cedrillo,Traslado,Privado,2,SAN CRISTOBAL,4.532568237705738,-74.0710209485403,1.16,3.64,8.06,4.39,4.18,4.89,4.01,4,4,5,4,Bueno,Bajo,No,JBB
91,2023,0.4581,1160000,2023EE66901,Manejo,SSFFS-66901,07474137092181,palma yuca palmiche,Poda aclareo,Privado,3,BOSA,4.59888743168359,-74.192483906804,1.89,5.94,10.6,1.14,6.69,8.38,6.53,4,3,4,5,Bueno,Bajo,No,EEAB
92,2021,0.4379,908526,2021EE38935,Infraestructura,SSFFS-38935,18877147537622,camelia,Poda control altura,Publico,3,RAFAEL URIBE URIBE,4.57429278300674,-74.11986950886059,0.23,0.72,2.59,0.18,0.79,1.35,0.79,3,2,3,5,Regular,Medio,No,EEAB
93,2021,0.4379,908526,2021EE43274,Manejo,SSFFS-43274,12377967935323,manzano de monte,Tala,Publico,3,BARRIOS UNIDOS,4.666452774253976,-74.08165010275098,0.33,1.04,8.13,5.34,4.08,8.67,1.14,1,1,1,1,Muy Malo,Muy Alto,No,IDU
94,2020,0.4379,877803,2020EE23796,Infraestructura,SSFFS-23796,07586393984416,laurel huesito,Poda estabilidad,Privado,2,BOSA,4.602218626275155,-74.19925675131537,0.17,0.53,5.93,5.27,1.23,5.07,0.59,3,2,3,4,Regular,Medio,No,JBB
95,2020,0.4379,877803,2020EE28299,Manejo,SSFFS-28299,14354126579613,pino montezuma,Poda control altura,Privado,5,LOS MARTIRES,4.600793414561464,-74.09997233055375,2.3,7.23,19.9,17.14,12.13,3.64,7.95,3,2,3,5,Regular,Medio,No,OTRO
96,2024,0.4476,1300000,2024EE83282,Emergencia,SSFFS-83282,19440557100781,palma coquito,Tratamiento especial,Publico,4,CIUDAD BOLIVAR,4.4356117382894835,-74.15542918879278,0.13,0.41,13.32,13.2,2.21,6.8,0.45,3,3,3,2,Malo,Alto,No,OTRO
97,2024,0.4476,1300000,2024EE51372,Manejo,SSFFS-51372,14052682722773,acacia azul,Poda control altura,Privado,6,LOS MARTIRES,4.621577647799401,-74.07879838403296,0.45,1.41,5.13,3.56,1.14,1.34,1.56,3,2,3,5,Regular,Medio,No,JBB
98,2024,0.4476,1300000,2024EE56735,Emergencia,SSFFS-56735,06053171918136,arboloco,Conservar,Publico,3,TUNJUELITO,4.587119928133806,-74.1474618737974,0.36,1.13,9.64,4.77,10.04,6.0,1.24,5,4,5,4,Bueno,Bajo,No,ENEL
